borrower_id,borrower_country,borrower_fullname,borrower_firstname,borrower_lastname,borrower_business_name,borrower_unique_number,borrower_gender,borrower_title,borrower_mobile,borrower_email,borrower_dob,borrower_address,borrower_city,borrower_province,borrower_zipcode,borrower_landline,borrower_working_status,borrower_credit_score,borrower_description,borrower_access_ids,borrower_photo,custom_field_5819,custom_field_5820,custom_field_5821,custom_field_5822,custom_field_5823,custom_field_5824,custom_field_6985,custom_field_7080,custom_field_7102,custom_field_7103,custom_field_7104,custom_field_7106
1349893,BW,,John,Ma,,,Male,0,2675381234,test1@test.com,21/10/1980,,,,,,,,,[],,B0 2345,Test Employer,+2675381235,Goldberg,+2675381236,123456,Francistown,,,,,
1351172,BW,,Mimi,Venter,,,Female,0,27826513137,,20/09/1980,,,,,,,,,[],,B777STP,MacDonald’s,+27415006580,Jenny Wilder,+27214561000,120005743,Francistown,zoho_igor246,,,,
1351173,BW,,Willy,Nelson,,,Male,0,27832712346,,26/10/1982,,,,,,,,,[],,B998FTY,Nashville Records,+27736007332,Ian Zowie,+27841003600,912234564,Francistown,zoho_igor246,,,,
1351174,BW,,Noah,Teague,,,Male,0,278327123479,,15/02/1985,,,,,,,,,[],,B223JJP,Harvard University,+27123267782,Jefferson Teague,+27315556362,084740013,Francistown,zoho_igor246,,,,
1353913,BW,,Ursula,Matthews,,,Female,0,27832719999,,18/06/1986,,,,,,,,,[],,B665WTR,Department of Justice,+27124467780,Maria Matthews,+27318890009,911546777,Gaborone Main,zoho_igor246,,,,
1353914,BW,,Frederick,Bester,,,Male,0,27810085472,,14/08/1997,,,,,,,,,[],,B880BDC,Department of Transport,+27652231478,Olga Bester,+27765569800,900127866,Gaborone Main,zoho_igor246,,,,
1353932,BW,,Ollie,McBurnie,,,Male,0,27720998455,,02/03/1965,,,,,,,,,[],,BA72553,SARS,+27213358887,Kramer du Randy,+27416657889,883456212,Gaborone Main,zoho_igor246,Citroen,C2,2014,2024
1370376,BW,,Mikayla,Badenhorst,,,Female,0,27607163887,mikayla.m.b0812@gmail.com,21/12/1984,,,,,,,,,[],,841221,ABSA,+27114224000,Alessandra,+27610795712,0712080136088,Gaborone Main,rriveragreen,Ford,Icon,2010,2026
1370384,BW,,Isabella,Rivera Green,,,Female,0,27607164887,thecube0608@outlook.com,06/08/1979,,,,,,,,,[],,SNG880MP,FNB,+27124224000,Igor,+27832553439,1308060137088,Gaborone Main,paul_pawnit,Citroen,C4,2007,2027
1391526,BW,,Jason,McAteer,,,Male,0,27832713333,,05/04/1984,,,,,,,,,[],,B332BDD,Ministry of Defence,+27841002665,AB de Villiers,+27825004549,912566654,Gaborone Main,zoho_igor246,Kia,Picanto,2015,2033
1391529,BW,,Jared,Kushner,,,Male,0,27841002545,jkushner@whitehouse.gov,30/06/1984,,,,,,,,,[],,B003BBW,Department of Justice,+27738089114,Ivanka Trupm,+27840007773,900127890,Gaborone Main,zoho_igor246,BAIC,205,2017,2031
1391545,BW,,Colin,Fairwood,,,Male,0,27725124000,,21/02/1985,,,,,,,,,"{'1': '24812', '2': '20560'}",,B331BGR,SS Dilopho High School,+27812247006,Harry Arter,+27845112580,901200545,Gaborone Main,paul_pawnit,Haval,H4,2018,2034
1391546,BW,,James,Charles,,,Male,0,27826514448,,02/10/1994,,,,,,,,,[],,B665BAW,Ministry of defence,+27840003255,Ulysses Brown,+27810509999,909777656,Gaborone Main,rriveragreen,Mazda,6 2.5litre,2012,2032
1393597,BW,,Joan,Arc,,,Female,0,27825667675,,20/06/1995,,,,,,,,,[],,B982ATL,The Insurance Company,+27115443002,Maria Matthews,+27214467098,900127897,Gaborone Main,zoho_igor246,Ford,Ranger,2018,2035
1394192,BW,,Charles,Mountbatten,,,Male,0,27816513322,Chuck1948@gmail.com,29/01/1985,,,,,,,,,[],,B880BSG,Department of Education,+27821006530,Elizabeth mountbatten,+27315556462,998000243,Gaborone Main,paul_pawnit,Hero,Honda 332,2009,2036
1400999,BW,,Jamal,Harris,,,Male,0,27820009877,,14/08/1947,,,,,,,,,[],,02CD04,Department of Justice,+27824409877,Matthew Harris,+27789998769,912375758,Gaborone Main,zoho_igor246,Jeep,Cherokee,2004,2037
